status	file	expr	expected	got	reason
FAIL	arrays/arraylib__IndexWrap.sli	4 3 IndexWrap	1	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/IndexWrap' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__IndexWrap.sli	5 3 IndexWrap	2	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/IndexWrap' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__IndexWrap.sli	6 3 IndexWrap	0	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/IndexWrap' does not exist in dictionary.	output mismatch
PASS	arrays/arraylib__Mean.sli	[1 2 3 4] Mean	2.5	2.5	
FAIL	arrays/arraylib__Product.sli	[1 2 3 4]   Product	24	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/Product' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__Product.sli	[1 2 3 4.0] Product	24.0	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/Product' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__Sum.sli	[1 2 3 4]   Sum	10	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/Sum' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__Sum.sli	[1 2 3 4.0] Sum	10.0	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/Sum' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__Var.sli	[0 1 2]   Var	1.0	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/Var' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__Var.sli	[1 2 3 4] Var	1.666667	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/Var' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__getdeep.sli	[[1 2 3] [4 5 6] [7 8 9]] [0 2]   getdeep	3	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/getdeep' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__getdeep.sli	[[1 2 3] [4 5 6] [7 8 9]] [1]     getdeep	[4 5 6]	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/getdeep' does not exist in dictionary.	output mismatch
FAIL	arrays/arraylib__getdeep.sli	<< /a << /b 1  /c 2 >> >> [/a /c] getdeep	2	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/getdeep' does not exist in dictionary.	output mismatch
FAIL	control/debug.sli	{1 2 add} debug	3	{1 2 add}	output mismatch
PASS	control/exec.sli	{1 2 add} exec	3	3	
FAIL	control/if.sli	1 0 gt { (1 > 0) = } if	(1 > 0)	1 > 0 May 22 10:17:01 == [M_ERROR]: StackUnderflow Command needs (at least) 1 argument(s).	output mismatch
FAIL	control/ifelse.sli	0 1 gt { (1 > 0) = } { (1 <= 0) =} ifelse	(0 <= 1)	1 <= 0 May 22 10:17:01 == [M_ERROR]: StackUnderflow Command needs (at least) 1 argument(s).	output mismatch
PASS	control/mark.sli	[ 1 2 add ]	[3]	[3]	
PASS	control/mark.sli	mark 1 2 add ]	[3]	[3]	
FAIL	core/First.sli	(train) First	104	116	output mismatch
PASS	core/First.sli	[1 2 3] First	1	1	
PASS	core/First.sli	[(this) (is) (an) (example)] First	(this)	(this)	
PASS	core/Last.sli	(train) Last	110	110	
PASS	core/Last.sli	[1 2 3] Last	3	3	
PASS	core/Last.sli	[(this) (is) (an) (example)] Last	(example)	(example)	
FAIL	core/LocateFileNames.sli	-	[(SLIHOME/lib/sli/sli-init.sli)]	May 22 10:17:01 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	core/Rest.sli	(train) Rest	(rain)	(rain)	
PASS	core/Rest.sli	[1 2 3] Rest	[2 3]	[2 3]	
PASS	core/Rest.sli	[(this) (is) (an) (example)] Rest	[(is) (an) (example)]	[(is) (an) (example)]	
SKIP	core/addpath.sli	(~/MySliRoutines) addpath -	sli files will additionally be looked		multi-value stack
PASS	core/array.sli	10 array	[0 0 0 0 0 0 0 0 0 0]	[0 0 0 0 0 0 0 0 0 0]	
SKIP	core/bind.sli	{1 2 add} bind -	{1 2 +add+}		multi-value stack
PASS	core/cst.sli	(hello) cst	[hello]	[hello]	
PASS	core/cvs.sli	23 cvs	(23)	(23)	
PASS	core/cvs.sli	{3 2 mul dup} cvs	(<proceduretype>)	(<proceduretype>)	
PASS	core/cvs.sli	(hello) cvs	(hello)	(hello)	
FAIL	core/cvs_f.sli	2.3456 3 cvs_f	(2.346)		timeout
FAIL	core/cvs_f.sli	2.3456 0 cvs_f	(2)		timeout
FAIL	core/cvs_f.sli	2.3456 neg 2 cvs_f	(-2.35)		timeout
FAIL	core/cvs_f.sli	2.3456 [2 3] cvs_f	(02.346)		timeout
FAIL	core/cvs_f.sli	2.3456 neg [2 3] cvs_f	(-02.346)		timeout
FAIL	core/cvs_f.sli	222.3456 [2 3] cvs_f	(222.346)		timeout
FAIL	core/file.sli	(sli-init.sli) (r) file type ==	istreamtype	/istreamtype May 22 10:17:31 == [M_ERROR]: StackUnderflow Command needs (at least) 1 argument(s).	output mismatch
FAIL	core/get.sli	(Hello World!)      0                  get -	184	May 22 10:17:31 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/get.sli	[(Hello) 1 /a 12]   1                  get -	1	May 22 10:17:31 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/get.sli	{(Hello World!) ==} 1                  get -	==	May 22 10:17:31 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/get.sli	systemdict          /get               get -	+get+	May 22 10:17:31 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	core/get.sli	[/a /b /c /d] [0 2]                    get	[/a /c]	[/a /c]	
FAIL	core/get.sli	<< /a 3 /c 2 >>  /c                    get -	2	May 22 10:17:31 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/get.sli	<< /a 3 /c 2 >>  [/c]                  get -	2	May 22 10:17:31 get [M_ERROR]: ArgumentType	output mismatch
FAIL	core/get.sli	<< /a 3 /c 2 >>  [[/c]]                get -	[2]	May 22 10:17:31 get [M_ERROR]: ArgumentType	output mismatch
FAIL	core/get.sli	<< /a 3 /c 2 >>  [[/c /a /a]]          get -	[2 3 3]	May 22 10:17:31 get [M_ERROR]: ArgumentType	output mismatch
FAIL	core/get.sli	<< /a << /b 3 /c 2 >> >>  [/a /c]      get -	2	May 22 10:17:31 get [M_ERROR]: ArgumentType	output mismatch
FAIL	core/get.sli	<< /a << /b 3 /c 2 >> >>  [/a [/b /c]] get -	[3 2]	May 22 10:17:31 get [M_ERROR]: ArgumentType	output mismatch
FAIL	core/length.sli	(Hello world!)      length -	12	May 22 10:17:31 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/length.sli	{(Hello world!) ==} length -	2	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	core/pcvs.sli	23 pcvs	(23)	(23)	
PASS	core/pcvs.sli	{3 2 mul dup} pcvs	({3 2 mul dup})	({3 2 mul dup})	
PASS	core/pcvs.sli	(hello) pcvs	((hello))	((hello))	
PASS	core/pick.sli	1 2 3 4 5 6 7 3 pick	4	4	
FAIL	core/pstack.sli	-	{3}	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/put.sli	(Hello Wxrld!)      7 111    put -	(Hello World!)	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/put.sli	[(Hello) 1 /a 12]   2 /here  put -	[Hello 1 here 12]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	core/put.sli	[[1 2][3 4]]    [1 1] 6      put -	[[1 2] [3 6]]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	core/put.sli	{(Hello World!) ==} (Bye!) 1 put -	{(Bye!) ==}		multi-value stack
SKIP	core/put.sli	systemdict          /MyLit 5 put -	-  % MyLit equals integer 5 now!		multi-value stack
SKIP	core/run.sli	(MySli.sli) run            -	execute file MySli, assuming it		multi-value stack
SKIP	core/run.sli	(~/MySliRoutines/DoIt) run -	execute file, ignoring search pathes		multi-value stack
FAIL	core/stack.sli	-	3	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	core/stack.sli	{123} stack -	<proceduretype>		type-tag placeholder
SKIP	help/--_x3e.sli	[8 -	6] --> 8 /--> cvx exec 6  3 arraystore		multi-value stack
FAIL	help/EvaluateLiteralInfixes.sli	[ 5 /add 6 /sub 2] EvaluateLiteralInfixes -	[9]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/EvaluateLiteralInfixes' does not exist in dictionary.	output mismatch
SKIP	help/EvaluateLiteralInfixes.sli	[ 5 -	6 true ] EvaluateLiteralInfixes   --> [false true]		multi-value stack
SKIP	help/helpindex.sli	helpindex -	lists all commands		multi-value stack
FAIL	help/validate.sli	/Part validate     -	true	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/validate' does not exist in dictionary.	output mismatch
SKIP	help/validate.sli	%   /validate validate -	true   % infinite recursion		multi-value stack
FAIL	helpers/CyclicValue.sli	-3601 [0 360] CyclicValue	359.0	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	23.0 [Pi -1 mul  Pi] CyclicValue	-2.13274	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	1 [1 4] CyclicValue	1	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	2 [1 4] CyclicValue	2	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	3 [1 4] CyclicValue	3	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	4 [1 4] CyclicValue	1	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	1 [4 1] CyclicValue	4	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	2 [4 1] CyclicValue	2	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	3 [4 1] CyclicValue	3	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
FAIL	helpers/CyclicValue.sli	4 [4 1] CyclicValue	4	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/double' does not exist in dictionary.	output mismatch
PASS	helpers/breakup.sli	1. (home/kupper/synod) (/) breakup	[(home) (kupper) (synod)]	[(home) (kupper) (synod)]	
PASS	helpers/breakup.sli	2. (Theresnospaceinhere) ( ) breakup	[(Theresnospaceinhere)]	[(Theresnospaceinhere)]	
FAIL	helpers/breakup.sli	3. [23 5 0 17 0] [0]   breakup	[ [23 5] [17] [] ]	[[23 5] [17] []]	output mismatch
FAIL	helpers/breakup.sli	4. [23 5 0 17 0] [5 0] breakup	[ [23] [17 0] ]	[[23] [17 0]]	output mismatch
PASS	helpers/breakup.sli	5. (abcdef) 3 breakup	[(abc) (def)]	[(abc) (def)]	
FAIL	helpers/breakup.sli	6. (abcdef) 4 breakup	[(abcd) (ef)]	May 22 10:17:32 getinterval [M_ERROR]: RangeCheck	output mismatch
PASS	helpers/breakup.sli	7  [1 2 3 4] 2 breakup	[[1 2] [3 4]]	[[1 2] [3 4]]	
PASS	helpers/reverse.sli	(Madam I'm Adam) reverse	(madA m'I madaM)	(madA m'I madaM)	
PASS	helpers/reverse.sli	(Lagerregal)     reverse	(lagerregaL)	(lagerregaL)	
PASS	helpers/reverse.sli	(Aide-moi o media) reverse	(aidem  o iom-ediA)	(aidem o iom-ediA)	
PASS	helpers/reverse.sli	[1 2 3] reverse	[3 2 1]	[3 2 1]	
PASS	helpers/searchif.sli	(Hello world!) (Hello) searchif	true	true	
PASS	helpers/searchif.sli	[1 3 2 5 2] [3 2]      searchif	true	true	
PASS	helpers/trim.sli	(--hello-you---) (-) 0 trim	(hello-you---)	(hello-you---)	
PASS	helpers/trim.sli	(--hello-you---) (-) 1 trim	(--hello-you)	(--hello-you)	
PASS	helpers/trim.sli	(--hello-you---) (-) 2 trim	(hello-you)	(hello-you)	
FAIL	io/ReadList.sli	istream [/Number /Number] ReadList	[[1 2] [3 4] ...]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/istream' does not exist in dictionary.	output mismatch
FAIL	io/ReadList.sli	istream [/Number] ReadList	[1 2 3 4 ...]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/istream' does not exist in dictionary.	output mismatch
FAIL	math/Add.sli	1 2   Add	3	May 22 10:17:32 Add [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Add.sli	1.0 2 Add	3.0	May 22 10:17:32 Add [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
PASS	math/Add.sli	[1 2] [3 4] Add	[4 6]	[4 6]	
PASS	math/Add.sli	1 [3 4] Add	[4 5]	[4 5]	
FAIL	math/AppendTo.sli	/j [4 5] def  7 /j AppendTo j -	[4 5 7]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Apply.sli	[1 2] {add} Apply -	3	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Apply.sli	[1 2] {dup mul} Map -	[1 4]	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Apply.sli	[(hell world) 4 (o)] {insert} Apply -	(hello world)	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/CompileMath.sli	( 5 + 3 * 7 )      CompileMath  exec  -	26	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/CompileMath.sli	( 5 * (3 + 7) )    CompileMath  exec  -	50	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	math/CompileMath.sli	( 5 + x * 7 )      CompileMath        -	{5 x 7 mul add}		multi-value stack
SKIP	math/CompileMath.sli	( 3 + exp 5 )      CompileMath        -	{3 5 exp add}		multi-value stack
SKIP	math/CompileMath.sli	( 3 + exp (  x ) ) CompileMath        -	{3 x exp add}		multi-value stack
SKIP	math/CompileMath.sli	( 3 + exp ( -x ) ) CompileMath        -	{3 x neg exp add}		multi-value stack
SKIP	math/CompileMath.sli	( 3 * exp (sin 2)) CompileMath        -	{3 2 sin exp mul}		multi-value stack
SKIP	math/CompileMath.sli	( 3 * exp sin 2 )  CompileMath        -	{3 2 sin exp mul}		multi-value stack
FAIL	math/CompileMath.sli	(4 * - 7)          CompileMath exec   -	-28	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	math/CompileMath.sli	(2^3)              CompileMath        -	{2 3 pow}		multi-value stack
SKIP	math/CompileMath.sli	(5+3*2^3)          CompileMath        -	{5 3 2 3 pow mul add}		multi-value stack
SKIP	math/CompileMath.sli	(5+3*2^3-4)        CompileMath        -	{5 3 2 3 pow mul add 4 sub}		multi-value stack
SKIP	math/CompileMath.sli	(5+3*2^3/4)        CompileMath        -	{5 3 2 3 pow mul 4 div add}		multi-value stack
SKIP	math/CompileMath.sli	(5+3*2^-3)         CompileMath        -	{5 3 2 3 neg pow mul add}		multi-value stack
FAIL	math/CompileMath.sli	(4)                CompileMath        -	{4}	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/CompileMath.sli	()                 CompileMath        -	{}	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	math/CompileMath.sli	(a=7+3)            CompileMath        -	{/a 7 3 add dup rolld Set}		multi-value stack
SKIP	math/CompileMath.sli	(a=7+3;)           CompileMath        -	{/a 7 3 add dup rolld Set pop}		multi-value stack
SKIP	math/CompileMath.sli	(a=7+3;6)          CompileMath        -	{/a 7 3 add dup rolld Set pop 6}		multi-value stack
SKIP	math/CompileMath.sli	(a=7+4;b=2*exp(-2.0/10)) CompileMath  -	{/a 7 4 add dup rolld Set pop /b 2 2.0 neg 10 div exp mul dup rolld Set}		multi-value stack
SKIP	math/CompileMath.sli	(Function({x+2},'x)) CompileMath      -	{{x 2 add} /x Function}		multi-value stack
SKIP	math/CompileMath.sli	(f=Function({x+2},'x)) CompileMath    -	{/f {x 2 add} /x Function dup rolld Set}		multi-value stack
SKIP	math/CompileMath.sli	(f={#+2})              CompileMath    -	{/f {<< >> begin /# Set # 2 add end} dup rolld Set}		multi-value stack
SKIP	math/CompileMath.sli	(f={#1-#2})            CompileMath    -	{/f {<< >> begin /#2 Set /#1 Set #1 #2 sub end} dup rolld Set}		multi-value stack
SKIP	math/CompileMath.sli	({#1-#2})            CompileMath exec -	{<< >> begin /#2 Set /#1 Set #1 #2 sub end}		multi-value stack
SKIP	math/CompileMath.sli	([4,3,2])              CompileMath    -	{[4 3 2]}		multi-value stack
SKIP	math/CompileMath.sli	(x=7+[4,3,2]*2)        CompileMath    -	{/x 7 [ 4 3 2 ] 2 mul add dup rolld Set}		multi-value stack
FAIL	math/CompileMath.sli	([])                   CompileMath    -	{[]}	May 22 10:17:32 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	math/CompileMath.sli	(<< 'x : [-3, 9]*2, 'y : 7 >>) CompileMath -	{<< /x [ 3 neg 9 ] 2 mul /y 7 >>}		multi-value stack
SKIP	math/CompileMath.sli	(<< >>)                CompileMath    -	{<< >>}		multi-value stack
FAIL	math/CompileMath.sli	(5+3 // Function( {2*x+1},'x)  ) CompileMath exec  -	17	May 22 10:17:32 Unimplemented [M_ERROR]: Operator 'cvlp_p' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:32 cvlp_p [M_ERROR]: Unimplemented	output mismatch
FAIL	math/CompileMath.sli	(1+(5+3 // Function( {2*x+1},'x))  ) CompileMath exec  -	18	May 22 10:17:32 Unimplemented [M_ERROR]: Operator 'cvlp_p' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:32 cvlp_p [M_ERROR]: Unimplemented	output mismatch
FAIL	math/CompileMath.sli	( [ 3, [ 2, 1], -9] // Flatten) CompileMath exec -	[3 2 1 -9]		timeout
FAIL	math/CompileMath.sli	( [ 3, [ 2, 1], -9] // Flatten // {Select(#,{#<3})}  ) CompileMath exec -	[2 1 -9]	May 22 10:17:37 Unimplemented [M_ERROR]: Operator 'cvn_s' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:37 cvn_s [M_ERROR]: Unimplemented	output mismatch
FAIL	math/CompileMath.sli	(5+3 // {#+1}  ) CompileMath exec -	9	May 22 10:17:37 Unimplemented [M_ERROR]: Operator 'cvn_s' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:37 cvn_s [M_ERROR]: Unimplemented	output mismatch
FAIL	math/CompileMath.sli	(7 5 // {#1-#2}) CompileMath exec -	2	May 22 10:17:37 Unimplemented [M_ERROR]: Operator 'cvn_s' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:37 cvn_s [M_ERROR]: Unimplemented	output mismatch
FAIL	math/Dimensions.sli	SLI ] [1 2 3]                    Dimensions	[3]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/SLI' does not exist in dictionary.	output mismatch
FAIL	math/Dimensions.sli	SLI ] [[1 2 3] [4 5 6]]          Dimensions	[2 3]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/SLI' does not exist in dictionary.	output mismatch
FAIL	math/Dimensions.sli	SLI ] [[[1 2][3 4]][[5 6][7 8]]] Dimensions	[2 2 2]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/SLI' does not exist in dictionary.	output mismatch
FAIL	math/Div.sli	9 2          Div	4	May 22 10:17:37 Div [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Div.sli	9 3.3        Div	2.727273	May 22 10:17:37 Div [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
PASS	math/Div.sli	[10 11.5 12] 4 Div	[2 2.875 3]	[2 2.875 3]	
FAIL	math/Drop.sli	[4 9 -7 3 2 11] 2 Drop    -	[-7 3 2 11]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Drop.sli	[4 9 -7 3 2 11] -2 Drop   -	[4 9 -7 3]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Drop.sli	[1 2 3 4 5] [-2] Drop     -	[1 2 3 5]	May 22 10:17:37 erase_a [M_ERROR]: RangeCheck	output mismatch
FAIL	math/Drop.sli	[1 2 3 4 5] [1 -2] Drop   -	[5]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Drop.sli	[1 2 3 4 5] [1 -2 2] Drop -	[2 4 5]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Drop.sli	[1 2 3 4 5] [1 -1 2] Drop -	[2 4]	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Drop.sli	[[-9 -12] [6 7]] {[2] [1]} Drop -	[[-12]]	May 22 10:17:37 counttomark [M_ERROR]: UnmatchedMark	output mismatch
FAIL	math/First.sli	(train) First	104	116	output mismatch
PASS	math/First.sli	[1 2 3] First	1	1	
PASS	math/First.sli	[(this) (is) (an) (example)] First	(this)	(this)	
FAIL	math/FixedPoint.sli	(kaeschperle) {Rest (_) join} FixedPoint   -	(___________)	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/FixedPoint.sli	(kaeschperle) {Rest (_) join} 1 FixedPoint -	(aeschperle_)	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/FixedPoint.sli	(kaeschperle) {Rest (_) join} 3 FixedPoint -	(schperle___)	May 22 10:17:37 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Flatten.sli	[3 [4 [5 [6]]] 7] Flatten   -	[3 4 5 6 7]		timeout
FAIL	math/Flatten.sli	[3 [4 [5 [6]]] 7] 1 Flatten -	[3 4 [5 [6]] 7]	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Flatten.sli	[3 [4 [5 [6]]] 7] 2 Flatten -	[3 4 5 [6] 7]	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	math/FoldList.sli	0 [1 2 3 4] {add} FoldList	[0 1 3 6 10]	[0 1 3 6 10]	
PASS	math/FractionalPart.sli	-2.3 FractionalPart	-0.3	-0.3	
FAIL	math/HasDifferentMemberQ.sli	[3 8 2 9 -1] 2 HasDifferentMemberQ -	true	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/HasDifferentMemberQ.sli	[2 2 2]      2 HasDifferentMemberQ -	false	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/IntegerPart.sli	-2.3 IntegerPart	-2.0	-2	output mismatch
